time,DRB.UEThpDl,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,RRU.PrbUsedDl,Viavi.UE.anomalies,du-id,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,nrCellIdentity,prb_usage,rsrp_nb0,rsrp_nb1,rsrp_nb2,rsrp_nb3,rsrp_nb4,rsrq_nb0,rsrq_nb1,rsrq_nb2,rsrq_nb3,rsrq_nb4,rssinr_nb_0,rssinr_nb_1,rssinr_nb_2,rssinr_nb_3,rssinr_nb_4,targetTput,ue-id,x,y
2024-05-24T07:13:40.453239Z,0.0,0,0,54.0,0,0,6,7,4,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,24.0,18.0,13.0,6.0,0.0,0.25,6,1609,1513
2024-05-24T07:13:40.457101Z,0.0,0,0,62.0,0,0,7,6,2,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,43.0,43.0,20.0,0.0,0.0,0.25,1,1901,1424
2024-05-24T07:13:40.459396Z,0.0,0,0,62.0,0,0,7,2,3,4,6,5,7,0,0,0,0,0,0,0,0,0,0,0,32.0,23.0,21.0,12.0,0.0,0.25,5,2350,1480
2024-05-24T07:13:41.686274Z,0.0,0,0,66.0,0,0,2,6,7,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,46.0,26.0,22.0,19.0,0.0,0.25,3,1781,1645
2024-05-24T07:13:41.688773Z,0.0,0,0,57.0,0,0,2,6,7,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,44.0,39.0,32.0,28.0,0.0,0.25,7,1807,1566
2024-05-24T07:13:41.691214Z,0.0,0,0,47.0,0,0,2,5,4,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,35.0,18.0,15.0,10.0,0.0,0.25,8,1734,2339
2024-05-24T07:13:41.693446Z,0.0,0,0,55.0,0,0,2,3,6,7,5,4,2,0,0,0,0,0,0,0,0,0,0,0,120.0,10.0,0.0,0.0,0.0,0.25,10,2621,1967
2024-05-24T07:13:41.697952Z,0.0,0,0,67.0,0,0,4,7,5,6,2,3,4,0,0,0,0,0,0,0,0,0,0,0,32.0,30.0,21.0,17.0,14.0,0.25,9,2029,2384
2024-05-24T07:13:41.702653Z,0.0,0,0,78.0,0,0,6,7,2,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,40.0,38.0,21.0,0.0,0.0,0.25,4,1683,1434
2024-05-24T07:13:41.704742Z,0.0,0,0,54.0,0,0,6,7,4,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,22.0,16.0,15.0,7.0,0.0,0.25,6,1609,1513
2024-05-24T07:13:41.708454Z,0.0,0,0,63.0,0,0,7,6,2,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,47.0,44.0,21.0,0.0,0.0,0.25,1,1901,1424
2024-05-24T07:13:41.710872Z,0.0,0,0,60.0,0,0,7,2,3,4,6,5,7,0,0,0,0,0,0,0,0,0,0,0,30.0,22.0,17.0,11.0,0.0,0.25,5,2350,1480
2024-05-24T07:13:43.194085Z,1572.0,0,0,63.0,0,1,2,6,4,3,7,5,2,8,0,0,0,0,0,0,0,0,0,0,46.0,24.0,21.0,19.0,0.0,0.25,3,1781,1962
2024-05-24T07:13:43.196388Z,1048.0,0,0,61.0,0,1,2,6,7,4,3,5,2,9,0,0,0,0,0,0,0,0,0,0,46.0,40.0,32.0,28.0,0.0,0.25,7,1856,1560
2024-05-24T07:13:43.198368Z,524.0,0,0,44.0,0,1,2,5,6,7,4,3,2,8,0,0,0,0,0,0,0,0,0,0,102.0,16.0,16.0,9.0,0.0,0.25,8,1406,2352
2024-05-24T07:13:43.200377Z,1572.0,0,0,59.0,0,1,2,3,6,7,5,4,2,8,0,0,0,0,0,0,0,0,0,0,129.0,9.0,0.0,0.0,0.0,0.25,10,2705,2000
2024-05-24T07:13:43.206824Z,7859.0,0,0,62.0,0,1,4,5,7,2,6,3,4,29,0,0,0,0,0,0,0,0,0,0,34.0,34.0,19.0,18.0,14.0,0.25,9,2029,2384
2024-05-24T07:13:43.211194Z,524.0,0,0,47.0,0,1,6,7,2,5,3,4,6,17,0,0,0,0,0,0,0,0,0,0,39.0,28.0,16.0,0.0,0.0,0.25,4,1743,1421
2024-05-24T07:13:43.213045Z,7859.0,0,0,67.0,0,1,6,7,5,4,2,3,6,15,0,0,0,0,0,0,0,0,0,0,26.0,19.0,14.0,1.0,0.0,0.25,6,1438,1461
2024-05-24T07:13:43.217217Z,4192.0,0,0,65.0,0,1,7,2,6,3,5,4,7,33,0,0,0,0,0,0,0,0,0,0,103.0,45.0,30.0,9.0,0.0,0.25,1,1930,1596
2024-05-24T07:13:43.222633Z,6288.0,0,0,28.0,0,1,7,2,3,4,6,5,7,0,0,0,0,0,0,0,0,0,0,0,32.0,15.0,13.0,6.0,0.0,0.25,5,2269,1682
2024-05-24T07:13:45.237564Z,5764.0,0,0,71.0,0,1,2,6,4,3,7,5,2,20,0,0,0,0,0,0,0,0,0,0,48.0,25.0,23.0,23.0,0.0,0.25,3,1798,1965
2024-05-24T07:13:45.240730Z,3144.0,0,0,59.0,0,1,2,6,7,4,3,5,2,25,0,0,0,0,0,0,0,0,0,0,48.0,39.0,31.0,22.0,0.0,0.25,7,1807,1566
2024-05-24T07:13:45.243291Z,1048.0,0,0,45.0,0,1,2,5,7,6,4,3,2,19,0,0,0,0,0,0,0,0,0,0,40.0,16.0,15.0,8.0,0.0,0.25,8,1674,2155
2024-05-24T07:13:45.245468Z,5240.0,0,0,61.0,0,1,2,3,6,7,5,4,2,19,0,0,0,0,0,0,0,0,0,0,150.0,7.0,1.0,0.0,0.0,0.25,10,2714,2000
2024-05-24T07:13:45.250593Z,20960.0,0,0,66.0,0,1,4,7,5,2,6,3,4,76,0,0,0,0,0,0,0,0,0,0,36.0,35.0,24.0,14.0,12.0,0.25,9,2029,2384
2024-05-24T07:13:45.255898Z,2620.0,0,0,45.0,0,1,6,7,2,5,3,4,6,52,0,0,0,0,0,0,0,0,0,0,36.0,30.0,14.0,0.0,0.0,0.25,4,1768,1479
2024-05-24T07:13:45.258456Z,20960.0,0,0,67.0,0,1,6,7,5,4,2,3,6,32,0,0,0,0,0,0,0,0,0,0,28.0,20.0,13.0,0.0,0.0,0.25,6,1413,1574
2024-05-24T07:13:45.264446Z,16244.0,0,0,63.0,0,1,7,2,6,3,5,4,7,85,0,0,0,0,0,0,0,0,0,0,128.0,43.0,28.0,3.0,0.0,0.25,1,1937,1633
2024-05-24T07:13:45.268666Z,20960.0,0,0,29.0,0,1,7,2,3,6,4,5,7,0,0,0,0,0,0,0,0,0,0,0,29.0,13.0,12.0,12.0,0.0,0.25,5,2323,1619
2024-05-24T07:13:47.109312Z,6812.0,0,0,71.0,0,0,2,6,7,4,3,5,2,23,0,0,0,0,0,0,0,0,0,0,49.0,26.0,25.0,23.0,0.0,0.25,3,1798,1672
2024-05-24T07:13:47.111496Z,4716.0,0,0,61.0,0,0,2,6,7,4,3,5,2,21,0,0,0,0,0,0,0,0,0,0,46.0,42.0,31.0,23.0,0.0,0.25,7,1856,1560
2024-05-24T07:13:47.113530Z,1572.0,0,0,45.0,0,0,2,5,7,6,4,3,2,20,0,0,0,0,0,0,0,0,0,0,37.0,15.0,14.0,9.0,0.0,0.25,8,1734,2101
2024-05-24T07:13:47.115697Z,5240.0,0,0,57.0,0,0,2,3,7,6,5,4,2,20,0,0,0,0,0,0,0,0,0,0,24.0,4.0,3.0,0.0,0.0,0.25,10,2285,2000
2024-05-24T07:13:47.120361Z,19912.0,0,0,61.0,0,0,4,7,5,2,3,6,4,78,0,0,0,0,0,0,0,0,0,0,35.0,31.0,28.0,13.0,13.0,0.25,9,2029,2384
